vriome	MF17_V0	MF53_V0	MF26_V0	MF44_V0	MF08_V0	MF57_V0	MF39_V0	MF48_V0	MF04_V0	MF40_V0	MF31_V0	MF13_V0	MF37_V0	MF55_V0	MF19_V0	MF46_V0	MF28_V0	MF02_V0	MF20_V0	MF11_V0	MF59_V0	MF06_V0	MF24_V0	MF60_V0	MF15_V0	MF27_V0	MF45_V0	MF10_V0	MF01_V0	MF49_V0	MF58_V0	MF14_V0	MF41_V0	MF23_V0	MF47_V0	MF29_V0	MF56_V0	MF38_V0	MF30_V0	MF21_V0	MF03_V0	MF52_V0	MF16_V0	MF34_V0	MF25_V0	MF07_V0	MF43_V0
VC_1043_0	-0.70582469637357	-0.545505842173678	-0.558231527944061	3.09500852423875	-0.817570875419663	2.53032822422793	-0.782015486108552	-0.902528885300528	1.88767636977864	-0.822892640179864	-0.867445957329539	-0.543262464758355	-0.798286751104465	2.58933851434883	2.88991263429701	-0.613712190691025	-0.837662429033713	2.06517330125012	2.45308405873083	2.36000223511042	-0.774907432480953	0.9204778749	0.52949450957477	-0.48090437018264	-0.648556788701249	-0.867911221416919	2.50869739031774	-0.992800081342213	-0.749469968419021	1.69706725812612	-0.672052495973924	-0.843598261787075	-0.588438147449436	-0.555521783826691	1.25796990224079	0.616138835652749	1.68871616253331	2.04133689801576	2.24159874636269	-0.520416200617598	1.60762623813847	-0.532248401762816	2.9228540019564	-0.820333127589327	3.45828979841699	1.80565475126641	0.894076285987025
VC_1044_0	-0.738222607202609	-0.577903753002717	-0.5906294387731	-0.763065626706819	-0.849968786248702	-0.797876595246182	-0.814413396937591	-0.934926796129567	2.64742539223173	2.34985092769616	-0.899843868158578	-0.575660375587394	-0.830684661933504	-0.811801535646805	-0.784286829905346	-0.646110101520064	1.25113024188422	-0.614137661991121	2.38334261591368	2.58881980381291	-0.807305343309992	-0.705430303963894	-1.06572863356219	-0.513302281011679	-0.680954699530288	0.860175524958602	-0.707334898499603	-1.02519799217125	-0.78186787924806	-0.787697216515547	-0.704450406802963	-0.875996172616114	-0.620836058278475	-0.58791969465573	-0.670768491263788	-0.531811824604685	-0.601482370844476	2.31280265613084	-0.753896379387055	-0.552814111446637	-0.808502230095819	-0.564646312591855	-0.690060677234774	-0.852731038418366	-0.80345384348256	-0.979791230665801	0.429816394301002
VC_1079_0	-0.132373426488563	0.0279454277113287	0.0152197419409463	-0.157216445992773	-0.244119605534656	-0.192027414532136	1.06171176200747	2.30679540211258	2.10779496423985	-0.249441370294857	2.75961915941726	0.0301888051266524	1.02904004878079	-0.205952354932759	1.68548536512565	-0.0402609208060179	-0.264211159148706	-0.00828848127707534	4.02904974874036	4.33071865594924	-0.201456162595946	-0.0995811232498481	2.50671204823707	0.0925468997023666	-0.075105518816242	3.09140512498432	-0.101485717785557	2.15284981726336	-0.176018698534014	-0.181848035801501	-0.0986012260889168	1.51882504780615	-0.0149868775644286	0.017929486058316	2.39854933853112	0.0740373561093614	0.00436680986956985	0.987244002367618	-0.148047198673009	0.0530350692674093	-0.202653049381773	0.0412028681221914	-0.0842114965207282	1.7450264069153	-0.197604662768514	3.41765199895867	-0.348799245162037
VC_1109_0	-0.348655691341223	-0.188336837141331	-0.201062522911714	-0.373498710845433	-0.460401870387316	-0.408309679384796	-0.424846481076205	0.973617783867599	-0.302831401694122	-0.465723635147517	-0.510276952297192	-0.186093459726007	-0.441117746072117	-0.422234619785418	-0.39471991404396	-0.256543185658678	-0.480493424001366	-0.224570746129735	-0.517044268291349	1.68421991246684	-0.417738427448605	-0.315863388102508	1.61353725825376	-0.123735365150293	-0.291387783668902	-0.510742216384571	-0.317767982638217	4.27369706531966	-0.392300963386673	-0.398130300654161	-0.314883490941576	-0.486429256754728	-0.231269142417088	-0.198352778794344	-0.281201575402402	-0.142244908743298	-0.21191545498309	-0.549950443502004	-0.364329463525668	-0.163247195585251	-0.418935314234433	-0.175079396730468	-0.300493761373388	-0.46316412255698	-0.413886927621173	4.42663223457048	-0.565081510014697
VC_1113_0	-0.136027493959891	0.0244275853337125	0.0115750826614308	-0.160766759468036	-0.247769892159511	-0.195656015845765	-0.212336571086349	-0.332840582556993	-0.0901798226239569	-0.253019487729019	-0.297750295946627	0.0266719978641108	-0.228526583694246	-0.209496268529635	-0.182315235902725	-0.0438845710674864	-0.267767194329119	-0.0118220549737986	-0.304352636751108	-0.425438443146756	-0.205088469091083	1.21300317491707	-0.463614551064252	0.0888947884167483	-0.0787979982987524	-0.298168094459278	-0.105041311048947	-0.423101846632936	-0.179625277880968	-0.185440524087669	-0.10215068526861	-0.273944798619304	-0.0185031263178297	0.0141296565034377	-0.068597771194733	0.0704171014677257	0.000767008958347578	-0.337405970200748	1.30087421948776	0.0492008433742781	-0.206213028212697	0.037643247274587	-0.087720079510884	-0.250671904456248	-0.201163566531657	-0.377573974726181	-0.35242708269474
VC_1114_0	-0.878522682795333	-0.718203828595442	-0.730929514365824	-0.903365702299544	1.06211553141657	-0.938176670838906	-0.954713472530315	-1.07522687172229	-0.832698393148232	-0.995590626601627	-1.0401439437513	-0.715960451180118	-0.970984737526228	-0.952101611239529	-0.924586905498071	-0.786410177112788	-1.01036041545548	-0.754437737583846	-1.04691125974546	-1.16794890290282	-0.947605418902716	-0.845730379556618	-1.20602870915491	-0.653602356604404	-0.821254775123012	-1.04060920783868	-0.847634974092328	-1.16549806776398	-0.922167954840784	-0.927997292108271	-0.844750482395687	-1.01629624820884	-0.761136133871199	-0.728219770248454	-0.811068566856512	-0.672111900197409	-0.7417824464372	-1.07981743495611	-0.894196454979779	-0.693114187039361	-0.948802305688543	-0.704946388184579	-0.830360752827498	-0.99303111401109	-0.943753919075284	-1.12009130625853	-1.09494850146881
VC_1116_0	-0.435053261115174	-0.27459818182157	-0.287450684493852	-0.459792526623319	-0.546795659314794	-0.494681783001048	-0.511362338241632	-0.631866349712276	-0.38920558977924	-0.552045254884302	-0.59677606310191	-0.272353769291172	-0.527552350849529	-0.508522035684918	-0.481341003058008	-0.342910338222769	-0.566792961484402	-0.310847822129081	-0.603378403906391	-0.724464210302039	-0.504114236246366	-0.402217050905772	-0.762640318219535	-0.210130978738535	-0.377823765454035	-0.597193861614562	-0.40406707820423	-0.722127613788219	-0.478651045036251	-0.484466291242952	-0.401176452423893	-0.572970565774587	-0.317528893473113	-0.284896110651845	-0.367623538350016	-0.228608665687557	-0.298258758196935	-0.636431737356031	-0.450706230014611	-0.249824923781005	2.45049296608491	-0.261382519880696	-0.386745846666167	-0.549697671611531	-0.50018933368694	-0.676599741881464	-0.651452849850023
VC_1122_0	-0.910559900263548	-0.750104820969945	-0.762957323642227	2.47078393169503	-1.02230229846317	-0.970188422149423	-0.986868977390007	-1.10737298886065	-0.864712228927615	-1.02755189403268	-1.07228270225028	-0.747860408439547	-1.0030589899979	-0.984028674833293	-0.956847642206383	-0.818416977371144	-1.04229960063278	-0.786354461277456	-1.07888504305477	0.880065111135796	-0.97962087539474	-0.877723690054146	-1.23814695736791	-0.685637617886909	-0.85333040460241	-1.07270050076294	-0.879573717352605	-1.19763425293659	-0.954157684184626	-0.959972930391326	-0.876683091572268	-1.04847720492296	-0.793035532621487	-0.76040274980022	-0.843130177498391	-0.704115304835932	-0.77376539734531	-1.11193837650441	-0.926212869162985	-0.725331562929379	1.77228750714741	3.38693523998426	-0.862252485814542	-1.02520431075991	-0.975695972835315	-1.15210638102984	0.915655033497476
VC_1129_0	-0.645789143350076	-0.485334064056472	-0.498186566728754	2.0156145417164	1.26952842107411	1.75776542602527	-0.722098220476534	-0.842602231947178	-0.599941472014142	-0.762781137119204	-0.807511945336812	-0.483089651526074	-0.738288233084431	1.25286084341527	-0.69207688529291	-0.553646220457671	-0.777528843719305	-0.521583704363984	-0.814114286141293	-0.935200092536941	-0.714850118481268	-0.612952933140674	-0.973376200454437	-0.420866860973437	-0.588559647688937	-0.807929743849464	-0.614802960439132	-0.932863496023122	-0.689386927271153	-0.695202173477854	-0.611912334658795	-0.783706448009489	-0.528264775708015	-0.495631992886747	-0.578359420584918	-0.439344547922459	-0.508994640431838	-0.847167619590933	-0.661442112249513	-0.460560806015907	-0.715974677602882	2.79960596510321	-0.597481728901069	-0.760433553846433	-0.710925215921842	-0.887335624116366	-0.862188732084926
VC_113_0	-0.244340418976226	-0.084021564776334	-0.0967472505467165	-0.269183438480436	-0.356086598022319	-0.303994407019799	-0.320531208711207	-0.441044607903184	-0.198516129329125	-0.36140836278252	1.65647154167952	-0.0817781873610104	-0.33680247370712	-0.317919347420421	-0.290404641678963	-0.152227913293681	-0.376178151636369	-0.120255473764738	-0.412728995926352	-0.533766639083713	-0.313423155083609	-0.211548115737511	-0.571846445335803	7.44701089284132	-0.187072511303905	-0.406426944019574	-0.21345271027322	-0.531315803944868	-0.287985691021676	-0.293815028289164	-0.210568218576579	-0.382113984389731	-0.126953870052091	-0.0940375064293468	-0.176886303037405	-0.0379296363783014	-0.107600182618093	-0.445635171137007	-0.260014191160671	-0.0589319232202536	-0.314620041869436	-0.0707641243654714	-0.196178489008391	-0.358848850191983	-0.309571655256176	-0.485909042439418	-0.4607662376497
