gene1	gene2	z_score
30	10449	-0.3129835388758335
30	31	0.14667658333332675
30	32	0.0333433167640062
30	80724	0.3355272240308308
30	84129	-0.023919334420290234
30	27034	0.16026839890491815
30	28976	0.00017471507769858952
30	33	-0.0867174958853993
30	34	0.1361862740590096
30	36	0.0849781359181627
30	35	0.4044025824509827
30	37	0.3781683508969944
30	176	-0.2870902216623197
30	9744	0.15818095007547336
30	23527	-0.48549248675483647
30	116983	0.23811283059833863
30	38	-0.04637401129593274
30	39	-0.5911107994569227
30	64746	-0.5515589497464074
30	79777	0.34028733894485386
30	91452	-0.36569917478341263
30	84320	-0.25444815118688013
30	414149	-0.2062816941901746
30	40	-0.005978859509822104
30	41	-0.4791403219610487
30	9311	0.038853029002985956
30	55515	-0.2404401513040553
30	390110	-0.040207826447928696
30	84680	0.2470815435973098
30	65057	-0.2481277453004908
30	59272	-0.18250110778837586
30	125981	-0.06884525090246058
30	340485	-0.4524227469524468
30	55331	-0.6429427187618227
30	1636	0.01980320643585662
30	43	-0.09505554096570279
30	22985	0.18103275909474056
30	47	-0.031068132128469872
30	130013	-0.08597844235251051
30	57001	0.03562482577257853
30	48	-0.167960226428853
30	50	0.09298570482702723
30	26027	-0.10331744207430152
30	134526	-0.051763256752826434
30	55856	-0.286538345252938
30	641371	0.3897823465922846
30	10965	0.38365582903433204
30	122970	0.24493765468438164
30	641372	0.27900228345840816
30	11332	-0.424300880589247
30	10005	0.16226633881052951
30	23597	-0.3664411004972854
30	51	-0.3317383961544501
30	8309	-0.1036884004977034
30	8310	0.08183212414482421
30	55289	-0.1351142687610597
30	52	-0.6178620017614229
30	53	-0.024528877945131644
30	54	-0.055628442529284616
30	51205	0.24442702982320294
30	92370	0.10709849266908572
30	55	-0.30099548915227514
30	93650	-0.026329926516927643
30	84519	0.17919745023602127
30	93953	0.14035555995052626
30	56	-0.2249883005710725
30	49	5.990301493104255e-05
30	23205	-0.3103604678473466
30	81616	-0.009474094150602186
30	80221	0.20483574746344954
30	197322	0.07252392253484244
30	2180	-0.2423438637814975
30	2181	-0.30300451134416173
30	2182	-0.4476082357543345
30	51703	0.04369391907326639
30	23305	-0.36133375402045054
30	116285	0.2977147641707476
30	123876	-0.032458745855811336
30	348158	-0.014680296393410647
30	6296	9.344311355850843e-05
30	54988	0.19828457023024462
30	84532	0.10225350800444086
30	55902	0.11502991110401986
30	79611	0.13035811157653024
30	58	-0.0866575475790906
30	59	-0.3259423795624743
30	345651	-0.3994258670383828
30	60	-0.1461590336462846
30	70	-0.1607366205916263
30	71	-0.12170417704175399
30	72	-0.28981186457240227
30	86	-0.196328297071379
30	51412	-0.09010331315000489
30	10881	-0.06467123205440561
30	10880	-0.0670100609509562
30	81569	-0.16475349450882903
30	284382	-0.19126257328569565
