gene1	gene2	raw_edge_score
30	10449	0.025173495910396998
30	31	0.08513776852845073
30	32	0.1381796184973497
30	80724	0.44425987955647905
30	84129	0.11111454258052206
30	27034	0.2717640661792953
30	28976	-0.009703509005184682
30	33	0.1829895570844598
30	34	0.1860644870924038
30	36	0.19230921908934295
30	35	0.4540027846602403
30	37	0.5243629687137308
30	176	0.214440091332321
30	9744	0.10196243615991127
30	23527	-0.3751762930872728
30	116983	0.18511924742648295
30	38	0.15922385452477922
30	39	-0.21144130882107487
30	64746	-0.4038986683443697
30	79777	0.3697626816265011
30	91452	-0.30286223174595645
30	84320	-0.0822893084171589
30	414149	-0.16062123534535752
30	40	-0.04745237299940036
30	41	-0.06639921015956562
30	9311	0.04837399325441569
30	55515	-0.019155711853832608
30	390110	0.35138767348020705
30	84680	0.3680043638687334
30	65057	-0.0005331389099874073
30	59272	0.16447527372590878
30	125981	0.04989863915887457
30	340485	-0.24972640645985453
30	55331	-0.44071420589734883
30	1636	0.1819664438179811
30	43	0.021896701667975634
30	22985	0.11149435404878169
30	47	0.07146047542085888
30	130013	0.11679277750072546
30	57001	0.05312516375062079
30	48	0.2261700753768324
30	50	0.39070489572891964
30	26027	-0.049621077505590305
30	134526	0.09621089631771512
30	55856	-0.22200759874172943
30	641371	0.42625970521845813
30	10965	0.4042232324727869
30	122970	0.04168233225297273
30	641372	0.11753438005339277
30	11332	-0.13151210300365807
30	10005	0.25465554726067213
30	23597	-0.09634763964106444
30	51	-0.248338541455257
30	8309	0.03416223328150772
30	8310	0.17568314839097293
30	55289	0.03966005455752607
30	52	-0.46659173206792376
30	53	0.11185889489850427
30	54	0.07644813416519348
30	51205	0.3748065646545861
30	92370	0.08610018881017337
30	55	0.08596392189368303
30	93650	0.06355610310229538
30	84519	0.05013614030438876
30	93953	0.16424723911546024
30	56	0.005629818482837251
30	49	0.21926154373714607
30	23205	0.24056200134258804
30	81616	-0.06628331476380907
30	80221	0.35026584622847595
30	197322	0.3232875701152865
30	2180	-0.06168211216143646
30	2181	-0.1677951292273549
30	2182	0.13591963753693778
30	51703	0.14123084974293118
30	23305	-0.21961314698684833
30	116285	0.39375723419576647
30	123876	0.18176786003422035
30	348158	0.2205786795209049
30	6296	0.3092540192953334
30	54988	0.3493702450268442
30	84532	0.2729381107667076
30	55902	0.33377049136919285
30	79611	0.19073932571881133
30	58	0.0005691213709376405
30	59	0.24346463876388968
30	345651	-0.2277318623215305
30	60	0.05037101828060906
30	70	0.16089064808316908
30	71	-0.1244853796653263
30	72	0.1684271673930508
30	86	-0.3790061097229196
30	51412	0.0493056636774378
30	10881	1.066786892066665e-15
30	10880	0.33627207966919676
30	81569	-0.10370222237019101
30	284382	-0.07043367764935701
10449	31	-0.06323321766344665
10449	32	0.016414207316883252
10449	80724	0.170024747065242
10449	84129	0.14049253005564138
10449	27034	0.025263208087759056
10449	28976	0.07466764422945693
10449	33	0.12056305702355136
10449	34	0.027813372174596222
10449	36	-0.05487593038932652
10449	35	-0.008480414187243157
10449	37	0.19901656908066306
10449	176	0.3566410050132187
10449	9744	-0.24575354636039334
10449	23527	-0.03923922068767738
10449	116983	0.02029645879714856
10449	38	0.1695621227873958
10449	39	0.20800668804727643
10449	64746	-0.28222549652212037
10449	79777	0.02021929136824279
10449	91452	-0.19176898763431544
10449	84320	0.03741390740585493
10449	414149	0.11916539291255694
10449	40	0.12605613742015132
10449	41	0.05777582371606656
10449	9311	-0.22193991888977616
10449	55515	-0.12061620859016497
10449	390110	0.5593702813922903
10449	84680	0.2161619186596424
10449	65057	0.30394644192431736
10449	59272	0.2238691042700678
10449	125981	-0.25498033237498047
10449	340485	-0.11451707770830316
10449	55331	-0.05764988778592389
10449	1636	0.02451087309924259
10449	43	0.15134870751109866
10449	22985	-0.2526624623248602
10449	47	0.14666020533366225
10449	130013	0.010667982353623179
10449	57001	0.06436763015375885
10449	48	0.3965886287320708
10449	50	0.1411671200251308
10449	26027	0.2687256845807648
10449	134526	0.04116500217146183
10449	55856	-0.1394907136194316
10449	641371	0.08708379247241742
10449	10965	0.06678536008377908
10449	122970	-0.19307916897084754
10449	641372	-0.040003483112237614
10449	11332	0.21037701124025793
10449	10005	0.26756163641219083
10449	23597	0.13751190143983688
10449	51	0.032183067026324744
10449	8309	0.22980544490419236
10449	8310	-0.2200177499437506
10449	55289	-0.00034284254601425757
10449	52	-0.17691099532383125
10449	53	-0.08607330668975141
10449	54	-0.13107516768808064
10449	51205	0.13779215004730527
10449	92370	-0.060682453286336445
10449	55	0.1858733063524775
10449	93650	-0.0712937144496545
10449	84519	0.06408082293905512
10449	93953	-0.23663488020561513
10449	56	0.04489993908300701
