gene1	gene2	z_score
30	10449	-0.10001767595125631
30	31	-0.03984166841640947
30	32	0.013179056300493666
30	80724	0.31924485217474413
30	84129	-0.013929360756487222
30	27034	0.14682956562546545
30	28976	-0.13462687383124958
30	33	0.05793429514176161
30	34	0.06104118753333755
30	36	0.06738492333414585
30	35	0.3289620548175126
30	37	0.3992981509091
30	176	0.08930835794911117
30	9744	-0.02287389215656628
30	23527	-0.5001335419507931
30	116983	0.06020860788118525
30	38	0.03422043534685819
30	39	-0.3366891363427795
30	64746	-0.5287573128326608
30	79777	0.24480318611431312
30	91452	-0.4277801620491418
30	84320	-0.20728947673748174
30	414149	-0.2855567794877412
30	40	-0.17242319129290368
30	41	-0.19136281268779004
30	9311	-0.07641275004922422
30	55515	-0.1439623311387391
30	51802	-0.28190128195635583
30	390110	0.22601872358797787
30	84680	0.2429639334195129
30	65057	-0.125522524145053
30	59272	0.03923544253245288
30	125981	-0.07506029551850349
30	340485	-0.3746637167905769
30	55331	-0.5656801212077297
30	1636	0.05712706084943321
30	43	-0.1030836310547486
30	22985	-0.013364634972936468
30	47	-0.05360253363551515
30	130013	-0.008092279081656453
30	57001	-0.0719029142632079
30	48	0.10088769883603559
30	50	0.2655924412596488
30	26027	-0.17474931410730993
30	134526	-0.02871470357122348
30	55856	-0.34689303082707473
30	641371	0.3012269405825832
30	10965	0.27922597016075257
30	122970	-0.08307688483372437
30	641372	-0.007425965732876086
30	11332	-0.2564866919993464
30	10005	0.12957249595249964
30	23597	-0.22139162032173987
30	51	-0.3732632086813805
30	8309	-0.09086623750335557
30	8310	0.050821293017250704
30	55289	-0.08525262737384387
30	52	-0.591463786490251
30	53	-0.013118683168644493
30	54	-0.04839664999731011
30	51205	0.2498352325280117
30	92370	-0.038859557518633264
30	55	-0.03922696979803013
30	93650	-0.06144464051509457
30	84519	-0.07482769435021808
30	93953	0.039362563387185814
30	56	-0.11934088497808679
30	49	0.09421059237583838
30	23205	0.1153854088290157
30	81616	-0.19114339648752948
30	80221	0.22526784357414276
30	197322	0.19815226151194926
30	2180	-0.1866480222905101
30	2181	-0.2926032443284255
30	2182	0.010427259510543643
30	51703	0.016203202316447937
30	23305	-0.3445051028928803
30	116285	0.26871215871231485
30	123876	0.056740746949342766
30	348158	0.09550050327573788
30	6296	0.18408387592458958
30	341392	-0.4872102356288494
30	54988	0.22434296787014157
30	84532	0.1478816716870618
30	55902	0.2086662091612279
30	79611	0.0656256671789295
30	58	-0.12430004037747183
30	59	0.11824454676371736
30	345651	-0.35268785110448697
30	60	-0.07469437355565299
30	70	0.035827293854458694
30	71	-0.24954600530192597
30	72	0.043220622972040865
30	86	-0.5038204001256961
30	51412	-0.07563002257933271
30	10881	0.13022063180001858
30	10880	0.21090759068973325
30	81569	-0.22861325684904182
30	284382	-0.19538983062231016
10449	31	-0.18823975309468682
10449	32	-0.10862120425893601
10449	80724	0.04494291648922795
10449	84129	0.01540869321222739
10449	27034	-0.09967204890098219
10449	28976	-0.0502075473006796
10449	33	-0.0045583040406972225
10449	34	-0.09726792708240706
10449	36	-0.17980039719922936
10449	35	-0.1336726712237819
10449	37	0.07373290154144017
10449	176	0.23143960551622
10449	9744	-0.370575968828121
10449	23527	-0.16414931197960075
10449	116983	-0.10459147706995586
10449	38	0.04454738375869059
10449	39	0.0827321038415874
10449	64746	-0.40695690275536295
10449	79777	-0.1047700108074012
10449	91452	-0.3166432191625617
10449	84320	-0.0875910995576994
10449	414149	-0.00570348195721973
10449	40	0.0011125237703379226
10449	41	-0.0671654407456832
10449	9311	-0.3466797683224283
10449	55515	-0.24533723310851308
10449	51802	-0.19658609700529225
10449	390110	0.43372227883087205
10449	84680	0.09105113427892576
10449	65057	0.17899806454677814
10449	59272	0.09844421411547426
10449	125981	-0.37998197739203404
10449	340485	-0.2394208730670809
10449	55331	-0.18257117102192022
10449	1636	-0.10026550709519635
10449	43	0.02638583406329377
10449	22985	-0.3775185425556968
10449	47	0.021551775934281633
10449	130013	-0.11417226148646249
10449	57001	-0.06069571108605884
10449	48	0.27116263666769863
10449	50	0.015806596160182138
10449	26027	0.14357245959090248
10449	134526	-0.08373313859240047
10449	55856	-0.26430620031742097
10449	641371	-0.038054160909760604
10449	10965	-0.058271691925597974
10449	122970	-0.31777125027740305
10449	641372	-0.1649767954240487
10449	11332	0.08545116254082903
10449	10005	0.14240643749338833
10449	23597	0.012456571662916013
10449	51	-0.09266862505553505
10449	8309	0.10477600084869491
10449	8310	-0.34487947466371394
10449	55289	-0.1252202533019459
10449	52	-0.3016085243362731
10449	53	-0.21108371233207768
10449	54	-0.25587781295060374
10449	51205	0.012802066414385596
10449	92370	-0.1856549734291953
10449	55	0.06056214695416133
10449	93650	-0.19633629278372533
10449	84519	-0.06087259603785604
10449	93953	-0.36153036977365216
10449	56	-0.08006367935201289
10449	49	-0.017022041972325472
10449	23205	0.1690464388032527
10449	81616	-0.3101331069324025
10449	80221	-0.09643186071691115
10449	197322	0.2512063797812875
10449	2180	-0.001544834466062614
10449	2181	-0.5498160736442645
10449	2182	0.3412178967932333
10449	51703	-0.18697914528098752
10449	23305	-0.059746400227513416
10449	116285	-0.2582304472896587
10449	123876	0.01472206863224991
10449	348158	0.07976938593401582
10449	6296	0.006613256053111569
10449	341392	-0.2133423947308954
10449	54988	0.15278606629525293
10449	84532	-0.22506500710394928
10449	55902	0.12823657944602945
10449	79611	-0.032306583733737765
10449	58	-0.10549259109246727
10449	59	0.2886140784892937
10449	345651	-0.2189067344496352
