species	MF17_V0	MF53_V0	MF26_V0	MF44_V0	MF08_V0	MF57_V0	MF39_V0	MF48_V0	MF04_V0	MF40_V0	MF31_V0	MF13_V0	MF37_V0	MF55_V0	MF19_V0	MF46_V0	MF28_V0	MF02_V0	MF20_V0	MF11_V0	MF59_V0	MF06_V0	MF24_V0	MF60_V0	MF15_V0	MF27_V0	MF45_V0	MF10_V0	MF01_V0	MF49_V0	MF58_V0	MF14_V0	MF41_V0	MF23_V0	MF47_V0	MF29_V0	MF56_V0	MF38_V0	MF30_V0	MF21_V0	MF03_V0	MF52_V0	MF16_V0	MF34_V0	MF25_V0	MF07_V0	MF43_V0
Actinomyces_graevenitzii	-4.73053801452157	-3.20471414581596	2.06097135601359	-4.7799468300707	-4.9381681602172	-2.01243273273437	-4.37369232171466	-4.75668964850097	-0.170723846333176	-4.5982867887501	-4.90710459701614	0.628417514544432	-4.01025577728663	-4.351794067704	-0.60163434107784	-4.48328398377329	-0.623772911708388	-3.05056604623423	-5.3962446974373	-3.49533812123962	-3.07135188630565	-1.29505252814816	-5.74700388340245	-1.23868842830705	-1.49940643240919	-4.91073950808523	-0.706859976970243	-5.82934492120143	-1.02546272164833	-4.43024454645596	-3.88878936394198	-4.80708143691851	-0.895311864081103	-3.38581873214366	-1.64943701933235	-4.14724585830088	-2.14886531699457	0.522541542739031	-4.68250528073978	-3.63997309596849	-4.6774657981699	-2.79476594123993	-4.34662123954013	-5.62989097477151	-4.7031316016276	-2.15166262030703	-5.57214029143084
Adlercreutzia_equolifaciens	-4.00125754052906	-2.47543367182345	-3.11543359063273	-4.05066635607819	0.575112769441433	-4.46657322678615	0.268791622379316	1.03192562410118	-4.02842595278021	1.25232744988813	-1.19445923618747	-3.04202478027161	-3.28097530329412	0.567587050386094	-3.90963036868334	-3.75400350978078	-3.38669972303643	-2.32128557224172	1.40866932313665	0.600856580270642	0.80880511187471	-4.05333298672251	0.866186185403604	-2.04025435145631	-4.00332438020533	0.57946998346173	-3.43509582957219	-3.85128731894508	-1.50035633618826	-0.242317160230023	-3.15950888994947	-4.077800962926	-3.22929995235658	-2.65653825815115	-3.4488701675031	-3.41796538430837	-1.41958484300206	-4.62362796974067	-3.95322480674727	-0.0394434945837311	-3.94818532417739	-2.06548546724742	-3.61734076554762	1.21583604460997	-3.97385112763509	0.367593509495605	0.467142791455311
Akkermansia_muciniphila	3.97890922258605	8.15017573133428	7.65213870748788	4.8733283932986	-5.33628045398758	-5.59396599454904	2.91451120181999	5.2468530059735	-5.15581872054311	8.72768731759908	-0.557270709275571	3.22981437498651	-4.40836807105701	4.99488378733167	-5.03702313644624	-4.88139627754367	-5.12313245112552	-3.44867834000462	2.73478539139195	-5.65991439051677	-6.10437088147422	-5.18072575448541	-0.0406108042782998	-3.16764711921921	-5.13071714796823	5.39507880094207	-4.56248859733508	-1.42975028308967	-5.81399642350427	-4.82835684022634	-4.28690165771236	5.07227256326336	-4.35669272011948	3.86254568807732	0.264212267504741	1.05859596095106	-2.54697761076495	-5.75102073750357	-5.08061757451016	-4.03808538973888	-5.07557809194028	9.48673788095498	-4.74473353331051	4.47673823636809	6.87896983261744	1.43387041752078	2.06196390759714
Alistipes_finegoldii	4.66768180703435	-2.73399071398013	-3.37399063278941	-4.30922339823486	-1.05281972562883	3.9947146450014	0.791841687505998	4.71327908721332	4.49700435058037	5.35378752448744	-4.4363811651803	-3.30058182242828	-3.53953234545079	-3.88107063586816	-4.16818741084002	1.66925021682562	-4.2542967255193	-2.5798426143984	3.96596177471862	4.32786308842817	-0.611374619560171	1.06596135785309	2.7932970646351	-2.29881139361299	-4.26188142236201	4.29855026841821	2.20817953057327	1.92945619684725	2.25474526998058	-3.95952111462012	-3.41806593210614	3.97848542815446	-3.48785699451326	-2.91509530030782	3.83582084986593	1.0358677098735	-1.67814188515874	1.77681872447712	-4.21178184890394	2.5820116203834	4.20408078261184	-2.3240425094041	-3.8758978077043	2.12482633536224	2.19899731242616	4.69482619785956	2.3228123063996
Alistipes_indistinctus	4.00722320542749	-3.4699524834857	-4.10995240229499	3.1950860688942	-5.20340649788694	3.8293335733049	1.9384136695699	0.427745149423389	3.47531295871406	4.11662939510638	1.29947682031992	-4.03654359193386	-4.27549411495637	3.93347801579872	1.57870572155637	-4.74852232144303	0.918404331300156	1.90604206468963	2.55487057462856	5.71629585811008	-4.1474913191217	3.30867594109952	1.76806513861646	-3.03477316311856	-0.51506223729002	3.583806374775	3.96167258004637	4.72750586984735	-0.492923337658557	1.58956230278746	-4.15402770161172	2.75177313685903	-4.22381876401884	3.13578189671839	-4.44338897916536	-4.41248419597063	-2.41410365466431	-1.12322829894246	-0.136048792311274	-3.90521143363823	2.10055224327557	7.53488141395323	3.66141213972661	2.90437411022966	3.97457721277794	0.763489166587619	4.81683404548626
Alistipes_onderdonkii	4.54030896224233	-2.88324013504728	-3.52324005385656	-4.45847281930201	-0.864957988459262	4.26493811753157	3.62328222960503	3.88048372862687	3.29556663638649	4.70481950448665	4.32909472781991	-3.44983124349543	4.82369386884719	-4.03032005693531	5.52814679229068	1.31008530065007	4.39292809111925	-0.299533291864009	1.43912516927118	5.37216759455916	3.11045123766362	5.42193204094024	4.53828209883811	-2.44806081468014	1.34123575307561	-4.58926549731654	5.54196338538268	3.81899390253094	2.00835610118759	-4.10877053568727	6.80065440672652	3.23045115577834	3.13489813580512	3.18927058166937	3.89435057085816	2.0954125303507	-1.82739130622588	-5.0314344329645	2.13783243834218	1.92161845949218	6.35972984025728	1.28795344884244	5.79110374410871	4.0952335649156	4.13212773483507	6.29650544103743	5.21751766705339
Alistipes_putredinis	7.26998188928775	-2.35495776637101	-2.99495768518029	-3.93019045062575	7.87922284797917	7.76183852768844	6.07841845284307	7.5182502681289	4.20003391107236	7.39589876030979	6.11663190153245	-2.92154887481917	-3.16049939784167	8.42397560355295	6.11397317953912	5.62149774625442	6.04406666494359	-2.20080966678928	7.0586845626458	6.79095416597229	6.60529352218328	5.42054655140997	6.99800350052227	-0.610079768884672	-0.0751109531106865	6.61176129265905	7.25344764103484	6.40353515548373	1.50416076692146	-3.58048816701101	-3.03903298449703	5.91732489858997	-3.10882404690414	6.57097624448843	5.37515269738124	3.3688561795655	-1.29910893754962	5.76612367323775	6.51724978163524	5.5433063955373	7.58317179575228	-1.94500956179498	8.29528427556042	6.4734997787981	8.01852882140343	6.93927283696158	6.84324219364668
Alistipes_senegalensis	-2.6042615011576	-2.90935504561952	-3.5493549644288	-1.69084946693228	1.61764398181127	1.26896344911516	0.743130759499992	2.12449742324574	2.51639883466308	1.15328824152393	0.782075315647775	-3.47594615406768	-3.71489667709019	-4.05643496750756	-1.97432305014195	-2.03981878662453	-4.42966105715869	-2.75520694603779	1.83223296555791	1.98553225679615	0.526582845513605	-2.0954452390617	4.06014361702797	-2.47417572525238	-4.4372457540014	0.562642663329205	-1.35515659136484	0.238661631803986	0.6726112635024	-4.13488544625952	-3.59343026374554	0.734594802479631	-1.30077697218927	-1.45203865093459	-3.88279154129917	-3.85188675810444	-1.85350621679813	-5.05754934353674	1.16294183689803	2.69967132866712	-4.38210669797345	-2.49940684104349	-4.05126213934369	-0.466777728678427	1.58253678693943	2.55393658664429	1.36828438739194
Alistipes_shahii	6.4056116029395	-2.12782002962868	-2.76781994843797	2.77702715629498	5.16860508612028	5.35239004075457	4.40839750856204	5.58874592838509	5.57808479068332	6.04643497714909	4.22739931038427	-2.69441113807684	-2.93336166109935	6.80796209255723	3.812408507495	3.66431450368165	3.50006761105348	-1.97367193004695	5.0970780782539	4.96086579855019	5.0629890430554	3.02986554189194	5.0040200878148	-1.69264070926154	1.38625943444956	5.33628131788319	4.38378979574903	4.62642070329984	3.8384692501677	1.93571863645533	-2.8118952477547	4.37155134310476	1.96428823514831	4.14133354239464	4.07516426910509	4.03969520732412	-1.07197120080729	3.24729492447299	-0.0498415971100584	4.36960036203083	5.25977251241445	-1.71787182505265	4.68458350163822	4.13061985382046	6.22516348619475	5.98125706829451	3.9498073633132
Anaerostipes_hadrus	3.51451904226549	1.95970866536729	-1.59013461306914	0.9684105700005	-4.31232383847151	-4.57000937903297	1.40758398835296	1.45440860820035	-4.13186210502703	-3.97244246700441	-1.06092784356295	1.44450238134942	-3.38441145554094	2.46088293883357	-1.38054834339521	-3.8574396620276	-4.09917583560945	2.18851307792866	-4.77040037569161	-1.85311038598253	-0.470347121226182	3.67039627025014	1.61122266712349	-2.14369050370313	-0.277289375959851	-1.23275979717735	0.243699211738727	-5.20350059945574	-4.7900398079882	2.82164746176844	1.35931758824021	-4.18123711517282	2.22022160928551	-1.08739553734668	-1.64943701933235	-3.52140153655519	-1.52302099524888	0.578788794784734	-4.05666095899409	-3.0141287742228	-4.05162147642421	-2.16892161949424	3.81712991096174	-3.12269886434569	-4.07728727988191	-1.2418444029385	0.129270974479676
