gene1	gene2	raw_edge_score
30	10449	-0.19895428057771744
30	31	0.26070584163144284
30	32	0.14737257506212229
30	80724	0.4495564823289469
30	84129	0.09010992387782585
30	27034	0.27429765720303423
30	28976	0.11420397337581467
30	33	0.02731176241271678
30	34	0.2502155323571257
30	36	0.19900739421627878
30	35	0.5184318407490988
30	37	0.49219760919511046
30	176	-0.17306096336420357
30	9744	0.27221020837358945
30	23527	-0.37146322845672036
30	116983	0.3521420888964547
30	38	0.06765524700218334
30	39	-0.47708154115880663
30	64746	-0.4375296914482913
30	79777	0.4543165972429699
30	91452	-0.2516699164852965
30	84320	-0.14041889288876402
30	414149	-0.09225243589205852
30	40	0.10805039878829398
30	41	-0.3651110636629326
30	9311	0.15288228730110204
30	55515	-0.12641089300593922
30	390110	0.07382143185018739
30	84680	0.3611108018954259
30	65057	-0.13409848700237473
30	59272	-0.06847184949025978
30	125981	0.045184007395655514
30	340485	-0.3383934886543307
30	55331	-0.5289134604637067
30	1636	0.1338324647339727
30	43	0.0189737173324133
30	22985	0.29506201739285665
30	47	0.08296112616964621
30	130013	0.028050815945605573
30	57001	0.1496540840706946
30	48	-0.05393096813073691
30	50	0.2070149631251433
30	26027	0.010711816223814563
30	134526	0.06226600154528965
30	55856	-0.1725090869548219
30	641371	0.5038116048904007
30	10965	0.4976850873324481
30	122970	0.3589669129824977
30	641372	0.39303154175652427
30	11332	-0.3102716222911309
30	10005	0.2762955971086456
30	23597	-0.25241184219916935
30	51	-0.217709137856334
30	8309	0.01034085780041267
30	8310	0.1958613824429403
30	55289	-0.021085010462943615
30	52	-0.5038327434633069
30	53	0.08950038035298444
30	54	0.058400815768831466
30	51205	0.358456288121319
30	92370	0.2211277509672018
30	55	-0.1869662308541591
30	93650	0.08769933178118844
30	84519	0.29322670853413735
30	93953	0.25438481824864234
30	56	-0.11095904227295642
30	49	0.11408916131304712
30	23205	-0.1963312095492305
30	81616	0.1045551641475139
30	80221	0.3188650057615656
30	197322	0.18655318083295852
30	2180	-0.12831460548338142
30	2181	-0.18897525304604565
30	2182	-0.33357897745621845
30	51703	0.15772317737138247
30	23305	-0.24730449572233443
30	116285	0.4117440224688637
30	123876	0.08157051244230475
30	348158	0.09934896190470544
30	6296	0.11412270141167459
30	54988	0.3123138285283607
30	84532	0.21628276630255694
30	55902	0.22905916940213594
30	79611	0.24438736987464632
30	58	0.02737171071902549
30	59	-0.21191312126435824
30	345651	-0.2853966087402667
30	60	-0.032129775348168514
30	70	-0.04670736229351023
30	71	-0.007674918743637904
30	72	-0.17578260627428616
30	86	-0.08229903877326292
30	51412	0.023925945148111194
30	10881	0.04935802624371046
30	10880	0.04701919734715988
30	81569	-0.05072423621071295
30	284382	-0.07723331498757957
10449	31	-0.17191854594450018
10449	32	-0.03961721115945504
10449	80724	0.0601895030248948
10449	84129	0.06041093495611022
10449	27034	0.03539837341137603
10449	28976	0.07188605395304115
10449	33	0.07907361274098956
10449	34	-0.09034437229129225
10449	36	-0.03143751371835411
10449	35	-0.20972250428815592
10449	37	-0.01855235064956823
10449	176	0.3174147428855721
10449	9744	-0.21335995999799534
10449	23527	0.018687100257449806
10449	116983	-0.025801604188106092
10449	38	0.16732403514632158
10449	39	0.12224095984438589
10449	64746	-0.060444121228015374
10449	79777	-0.0593758273441088
10449	91452	-0.12895360795000596
10449	84320	0.044000580857425226
10449	414149	0.15460696718971126
10449	40	0.05668241745976292
10449	41	0.21607253739071025
10449	9311	-0.09965871881784891
10449	55515	0.10928597320657993
10449	390110	0.19327919527383725
10449	84680	0.09484476287322702
10449	65057	0.3585685974316094
10449	59272	0.010368334960548769
10449	125981	-0.262444598039978
10449	340485	0.0002973555259275923
10449	55331	0.056219791812177816
10449	1636	0.17080106871291825
10449	43	0.14881675416255624
10449	22985	-0.24855495487208953
10449	47	0.03388142854567172
10449	130013	0.13506589260036145
10449	57001	-0.05426203846490577
10449	48	0.1831498299070342
10449	50	-0.04215698527129671
10449	26027	0.09195396264305589
10449	134526	0.10104936187658325
10449	55856	-0.04197093570823205
10449	641371	-0.09940284978347325
10449	10965	-0.07373594003000333
10449	122970	-0.14939791759354493
10449	641372	-0.18583312927039647
10449	11332	0.3087473714371106
10449	10005	0.09900294592377344
10449	23597	0.15149947810595052
10449	51	0.10623957014320147
10449	8309	0.18659405469326854
10449	8310	-0.1480443388882744
10449	55289	0.09108265326708552
10449	52	0.05954220621347328
10449	53	-0.102536459683122
10449	54	-0.0009062356881868391
10449	51205	0.1088030906084565
10449	92370	-0.12892436655749479
10449	55	0.07276121878099155
10449	93650	-0.1313278497203577
10449	84519	-0.06476254415943394
10449	93953	-0.22142192680510248
10449	56	0.10339077848622773
10449	49	0.04116195370586475
10449	23205	0.21826001762090322
10449	81616	-0.14586963777902007
10449	80221	-0.0312039012337065
10449	197322	0.21864768466295856
10449	2180	0.17594363186333972
10449	2181	-0.23592190582427824
10449	2182	0.27375399639440634
10449	51703	-0.16060976286722323
10449	23305	0.20922511899721807
10449	116285	-0.30897057372884024
10449	123876	0.10855082285101238
10449	348158	0.11991785374186492
10449	6296	-0.11547563778774422
10449	54988	0.20132809024458395
10449	84532	-0.22876894966167613
10449	55902	0.1002685326643381
10449	79611	-0.13257409669683273
10449	58	0.12624889845954423
10449	59	0.309320898286469
10449	345651	-0.02387843904251131
10449	60	0.046777345904125675
10449	70	0.21354774237957225
10449	71	0.04078903788002555
10449	72	0.25505456717731784
10449	86	-0.08903501732756978
10449	51412	0.22677025869065254
10449	10881	0.033779534592112276
10449	10880	0.1125933230463175
10449	81569	-0.05779802026247757
10449	284382	0.005602386449236259
31	32	0.041006866046383414
31	80724	0.31863670136029054
31	84129	-0.11495222072894923
31	27034	0.17563066263910104
31	28976	-0.046931782661682964
31	33	0.05210283597908397
31	34	0.33299558420782194
31	36	0.2923542617318816
31	35	0.16744893981184064
31	37	0.171260788055202
