gene	TCGA-BH-A1FE-06A-11R-A213-07	TCGA-E2-A15E-06A-11R-A12D-07	TCGA-E2-A15K-06A-11R-A12P-07	TCGA-BH-A18V-06A-11R-A213-07	TCGA-AC-A6IX-06A-11R-A32P-07	TCGA-BH-A1ES-06A-12R-A24H-07	TCGA-E2-A15A-06A-11R-A12D-07	TCGA-E2-A10A-01A-21R-A115-07	TCGA-D8-A1JJ-01A-31R-A14M-07	TCGA-C8-A274-01A-11R-A16F-07	TCGA-D8-A1J8-01A-11R-A13Q-07	TCGA-D8-A1JF-01A-11R-A13Q-07	TCGA-D8-A146-01A-31R-A115-07	TCGA-D8-A1JK-01A-11R-A13Q-07	TCGA-D8-A147-01A-11R-A115-07	TCGA-D8-A1J9-01A-11R-A13Q-07	TCGA-D8-A1JA-01A-11R-A13Q-07	TCGA-D8-A1JE-01A-11R-A13Q-07	TCGA-D8-A1JD-01A-11R-A13Q-07	TCGA-D8-A1JB-01A-11R-A13Q-07	TCGA-D8-A1JG-01B-11R-A13Q-07	TCGA-D8-A1JH-01A-11R-A13Q-07	TCGA-D8-A1JI-01A-11R-A13Q-07	TCGA-D8-A4Z1-01A-21R-A266-07	TCGA-D8-A1JC-01A-11R-A13Q-07	TCGA-D8-A140-01A-11R-A115-07	TCGA-C8-A27A-01A-11R-A169-07	TCGA-E2-A106-01A-11R-A10J-07	TCGA-E2-A105-01A-11R-A10J-07	TCGA-C8-A8HQ-01A-11R-A36F-07	TCGA-D8-A73X-01A-11R-A32P-07	TCGA-C8-A27B-01A-11R-A169-07	TCGA-C8-A8HP-01A-11R-A36F-07	TCGA-E2-A108-01A-13R-A10J-07	TCGA-C8-A3M7-01A-12R-A21T-07	TCGA-C8-A3M8-01A-11R-A213-07	TCGA-E2-A107-01A-11R-A10J-07	TCGA-D8-A1JL-01A-11R-A13Q-07	TCGA-C8-A8HR-01A-11R-A36F-07	TCGA-D8-A142-01A-11R-A115-07	TCGA-C8-A278-01A-11R-A169-07	TCGA-D8-A143-01A-11R-A115-07	TCGA-D8-A145-01A-11R-A115-07	TCGA-D8-A141-01A-11R-A115-07	TCGA-E2-A109-01A-11R-A10J-07	TCGA-D8-A73W-01A-22R-A352-07	TCGA-D8-A13Y-01A-11R-A115-07	TCGA-D8-A73U-01A-11R-A33J-07	TCGA-D8-A13Z-01A-11R-A115-07	TCGA-C8-A275-01A-21R-A16F-07	TCGA-D8-A27P-01A-11R-A16F-07	TCGA-D8-A1XL-01A-11R-A14M-07	TCGA-D8-A1XK-01A-21R-A14M-07	TCGA-D8-A1XM-01A-21R-A14M-07	TCGA-D8-A1XO-01A-11R-A14M-07	TCGA-D8-A1XQ-01A-11R-A14M-07	TCGA-D8-A1XJ-01A-11R-A14M-07	TCGA-D8-A1XG-01A-11R-A14D-07	TCGA-D8-A27H-01A-11R-A16F-07	TCGA-D8-A1XD-01A-11R-A14D-07	TCGA-D8-A1XF-01A-11R-A14D-07	TCGA-D8-A27G-01A-11R-A16F-07	TCGA-D8-A27F-01A-11R-A16F-07	TCGA-D8-A1XR-01A-11R-A14M-07	TCGA-D8-A1Y2-01A-11R-A157-07	TCGA-D8-A1XW-01A-11R-A14M-07	TCGA-D8-A1XY-01A-11R-A14M-07	TCGA-D8-A1Y1-01A-21R-A14M-07	TCGA-D8-A1XZ-01A-11R-A14M-07	TCGA-D8-A1Y3-01A-11R-A157-07	TCGA-D8-A1XV-01A-11R-A14M-07	TCGA-D8-A1XS-01A-11R-A14M-07	TCGA-D8-A1XT-01A-11R-A14M-07	TCGA-D8-A27E-01A-11R-A16F-07	TCGA-D8-A1XU-01A-11R-A14M-07	TCGA-D8-A27I-01A-11R-A16F-07	TCGA-D8-A1XC-01A-11R-A14D-07	TCGA-D8-A27W-01A-11R-A16F-07	TCGA-D8-A1JU-01A-11R-A13Q-07	TCGA-D8-A1X5-01A-11R-A14D-07
36	10.18237474	10.69315055	10.94152084	7.896188279	10.68599059	10.33039829	12.10504119	10.56782282	10.27841879	10.70126045	10.94140633	10.75906393	11.33267532	7.97513375	9.424059815	9.993384243	9.135669018	12.79988408	11.50053957	11.05214231	11.19375733	11.54831442	11.74266729	11.54508156	10.11095213	12.86514722	10.9636585	11.54721734	12.32099937	8.014501475	12.04406165	8.629123438	7.6328382	9.369547402	10.87722377	11.64694867	10.7331484	9.159983318	9.94902345	8.041204645	10.97044667	7.681431695	12.31738593	10.20002721	13.01739604	11.86402693	8.99298534	10.57192496	8.437747912	9.147329088	13.4238478	9.853579665	6.691662572	11.24974854	11.68156904	9.999150335	7.41020286	11.87654377	9.299088934	11.50525123	9.207498311	11.68759758	7.485070135	12.13098243	10.61256998	10.5571578	13.24842233	11.7358145	12.38124389	9.597692619	12.50236775	13.19289283	7.953275135	12.36256843	11.31377223	10.57794142	12.71970199	12.20944401	11.2070214	11.63015676
35	9.009088189	9.319765588	9.737775305	8.9910799	8.823770056	9.030551826	8.303327324	7.191361297	7.192833292	7.030328353	6.112710557	5.90315399	6.972686911	5.659733366	6.704757175	7.409573383	4.279337569	5.847956831	7.444131986	7.865279825	5.862357159	8.927249667	8.484803564	9.206402449	8.384156036	9.125910127	6.369728197	9.021403937	6.08719125	6.748886518	9.03209919	6.843084391	8.92807595	9.246528275	7.397896207	9.296304365	10.03197738	7.569573876	9.092227791	8.661721458	5.38774164	6.65633905	7.932754517	7.281020321	6.973970527	8.781239047	7.269796196	8.638470307	6.142323573	6.156129606	9.614525631	8.479681252	6.869698707	7.985121263	7.43481168	8.35571756	6.913784607	7.803458252	8.18314704	6.243718581	7.730701765	6.577866857	7.094315255	7.424256166	7.668520543	8.112050044	8.104805774	7.555204935	8.513537724	9.528483023	6.435010116	7.829784881	6.204690467	8.076554285	8.960804751	8.700576005	7.09762133	8.411030009	8.525071292	8.422471439
37	12.66146777	11.8839441	12.50891081	11.68863528	11.5844197	12.76975575	12.09222069	11.66808091	11.03736431	11.98210627	9.673603945	11.06885162	11.26078202	11.81369695	10.3286968	10.82593521	9.833553153	10.19326957	10.89561201	10.86644717	10.67875373	12.0529045	12.68730908	12.88190451	11.32573623	11.71495278	10.32691907	10.6939649	11.73703198	11.60538053	12.43493722	10.27684732	12.08550396	11.69368549	11.4702709	11.44883216	12.37010149	11.75808806	11.50576169	11.74597724	10.85251367	11.76336115	11.12713141	11.95703041	10.98830806	11.54416407	10.71468685	11.64895889	11.4288779	10.75411527	11.93421394	11.61713132	11.69612748	11.28157887	11.31852349	11.03687521	11.44816216	11.78334873	10.40233889	11.97617805	11.81804482	11.56543481	11.55846171	12.30268696	11.66670782	11.45424767	10.97786397	11.07165107	11.60907631	11.19584782	12.04177286	11.17745087	11.37296189	12.34939453	11.77348047	12.1332376	11.94131113	11.68324273	12.06283593	11.49185565
176	9.390055643	1.862550576	4.157100317	3.480614119	1.102658131	1.955982285	2.625808185	6.741977907	4.764388622	5.697440236	5.794561428	3.36120689	6.166789747	6.374230948	4.652532385	6.146873092	4.892910691	4.947829771	4.777803682	4.063330361	4.775524688	7.549400411	3.412076939	5.765012205	5.041685432	6.584609298	8.592684263	4.4359419	4.945219074	7.238404739	4.534030467	5.931600331	7.250760764	8.051357962	6.431318745	7.316507819	6.010580694	5.682503071	8.395310913	7.690540714	6.311276042	6.217009641	6.959847805	6.579273693	5.841746737	9.210805746	7.65662722	4.695180955	6.422069813	4.599442774	6.23024337	4.599079706	3.810823522	4.222557291	4.690053862	6.242312871	5.742556012	8.424934682	16.78347901	4.174310534	8.762552461	6.428624817	7.995696498	4.930822478	4.974226425	6.648397851	6.664805647	6.217056186	6.489770908	4.427123406	6.064913022	5.655174343	9.946970734	5.928249501	4.631633988	4.76719925	6.797980505	6.731673381	6.276842782	5.614659791
9744	4.26886103	7.6989109	3.750831573	9.371026466	9.379363637	4.010672438	8.640105722	4.280013504	5.697276195	3.719161532	6.254023292	5.397885086	6.723334659	7.592599805	6.858622603	4.908928165	2.087564675	4.808349009	5.916760856	8.052626736	7.432852537	6.782581552	4.396522584	7.659657738	6.036169216	7.001786483	3.751742207	2.513086431	4.490210695	7.860337751	5.720390658	6.712723703	8.996609066	9.039178157	7.186708532	4.996989744	5.84621498	7.387785574	8.228956702	6.773027084	7.151850701	6.853277114	6.817414768	9.005439289	5.9748459	6.749606669	1.830011879	10.09977543	7.078342976	7.759233747	4.987907467	8.285645422	6.641534469	7.145260684	6.182942523	7.57133551	3.532129908	4.075344367	5.067204157	4.370066609	4.588732622	7.193323295	4.944057247	4.965871998	8.222642778	6.200266966	4.532404242	4.973790339	6.706645201	6.496809048	2.737081005	5.551100683	6.323834799	5.59170335	5.56777663	7.629554066	1.470667008	6.412303935	6.404695393	5.872777058
23527	10.33425362	10.32796698	9.967711591	11.03958204	10.47741171	9.520149753	11.02339024	10.40674679	10.77503836	10.45061691	10.97634566	10.60110815	10.59269417	10.10483289	11.0223538	11.0090702	10.98011094	11.02655097	10.73619811	10.72396293	10.53322109	10.78907044	10.42663723	10.336401	11.11111369	10.51270946	10.76149863	9.5618588	10.19376226	10.04980159	10.07280629	10.74589453	9.818129167	10.66866759	10.58721645	10.25730922	9.77049327	11.60460933	10.41810328	9.999777379	10.59057339	10.21073599	10.47319879	10.37180931	10.34924164	10.29415972	10.56079872	10.46183926	10.16197508	10.80389055	10.49886965	9.799433331	10.54644625	10.49034951	10.97122157	11.01809194	10.40565515	10.89594026	9.716296808	11.10713591	10.95499641	10.40286817	10.46175722	10.72609535	9.907860932	11.29886213	10.89894898	9.520374904	9.922915122	8.608912711	10.27318483	10.69487201	10.90960354	10.53272897	10.92542344	10.53267385	10.4457507	10.46832417	10.79953929	11.05245387
116983	8.79996152	10.11156059	9.758209221	10.60944767	9.102115864	10.96819662	9.013398052	8.636609034	9.507055268	8.779540772	7.909310489	7.389555627	9.401080674	9.089254489	8.947655638	9.941917511	7.362794231	7.790684733	9.090022679	8.409640416	10.33582232	8.701227436	9.221935549	10.10329109	8.636591271	9.289828933	9.423425641	9.627639666	10.14729461	9.784420552	9.58251216	7.650751637	11.90683939	8.646468348	9.365962151	9.671505684	9.698905519	9.015515689	10.20430728	9.792120514	8.39061825	9.029761789	9.844095922	9.53989529	9.844841633	9.031780588	10.22817402	9.615151602	8.967554827	9.313666924	8.772220206	8.705249115	8.051125178	9.00394623	8.15259059	8.445064522	8.697976712	8.02586322	8.680122484	10.08479457	9.680289365	9.451157113	8.335204088	9.519234837	8.877752837	8.532794999	8.675434535	8.85890477	8.519138103	9.114326678	7.722472172	8.346161327	8.715530661	8.723127791	8.706534697	9.051522465	9.054083307	8.647546568	8.8137222	9.57577558
38	10.46843792	9.864882711	9.31721994	9.255836111	9.658723477	10.91955245	10.30198597	11.18026966	10.43006653	10.48443413	9.687568147	12.16246393	10.22625226	10.35835802	10.45197245	9.037806369	9.008665317	10.75509362	9.705126405	10.11431796	10.46117932	10.60134302	10.79945203	9.884812032	9.553717216	9.825278261	10.56972737	9.431717387	9.373952655	9.196029607	10.24373429	8.745125374	9.689208465	10.06310894	9.962015519	8.914684105	9.37821421	10.68682895	9.655375265	10.49109849	10.14929113	10.08120726	9.802923106	9.700747819	10.37456016	10.34975648	10.44240539	9.418250888	9.878588795	9.627421164	9.560594789	9.997821069	9.257285295	10.0702597	9.18977268	10.41423894	10.95722969	10.62871719	9.533093158	10.10607358	9.632126593	9.019498993	9.397962288	11.0410647	9.946099484	11.82153022	11.48823074	10.91277454	10.66178487	12.87367882	11.98954714	9.926866436	10.66120892	11.77762457	10.19100541	10.07523832	10.90951646	10.73102223	10.30133157	10.3433352
39	10.60396361	7.72639461	8.95702976	8.657423499	8.872436951	7.449661237	9.544508763	8.704736775	10.4755772	8.864701831	9.082126416	8.111474259	8.73945795	6.864506846	9.186223459	9.450581135	9.191124622	8.245106281	9.274062671	9.099646576	8.285950062	8.926894596	8.361749501	8.234958701	9.120228026	8.263426022	9.118370628	8.92874753	9.415748528	8.958292572	9.054259169	9.669142661	9.263985792	8.112091237	7.266159675	9.252596134	7.890030751	9.952882744	8.073682618	10.47128523	9.042891076	11.556168	8.007304283	8.456879235	9.484862359	7.948655158	9.984713661	8.890235088	6.310469187	11.25974173	9.202013842	8.850546294	10.98014493	9.566674188	7.705830032	8.73143546	10.97783171	8.459949175	8.805274718	9.255836347	9.353522451	9.383534312	10.92206082	9.057255842	7.737879387	8.149107417	9.217663799	8.803401743	9.499074118	9.245505883	9.090679592	9.299432878	8.949960617	8.117937064	8.428046473	8.604924928	8.024965653	8.747274601	8.133544004	9.686187092
64746	10.43549452	10.68029332	11.54831013	11.52376061	11.59413007	11.54237487	10.99463671	10.17384251	11.7414243	12.16666461	12.14796392	11.93144691	11.50850016	10.84152409	12.06488063	11.74776946	12.27631127	11.55232101	11.43027173	11.62502979	11.61987194	10.76518182	11.61433702	10.39256708	11.76114679	11.46812767	11.1122023	10.9828637	10.27101404	10.79903038	11.12922911	11.57820435	10.82266403	10.70164011	11.6879129	11.25514663	11.19199216	11.06271692	10.85242526	10.93690474	10.23212828	10.84924393	10.88141333	10.97921017	10.50133842	11.9359842	10.88594913	11.325174	10.88009675	11.13035112	10.98204568	10.3319179	11.58410466	11.32656813	11.57116051	11.98989269	11.53014118	12.01294618	11.91985497	10.86816934	11.54022459	11.45002452	11.65320323	12.4166238	10.49942836	11.78987553	11.79450632	10.9213368	11.10368613	10.03051748	11.54651406	11.44445836	12.10093328	10.7180123	11.7393101	10.98197256	11.400082	11.54152128	11.02585672	12.24082019
